name_7006#0,"""란"""
msn_011080_002_0020#0,"""마그너스산에 가시는데<br>싸움에 대한 조언을 해드리고 싶어서요."""
msn_011080_002_0030#0,"""모든 아크스의 능력은 “전투력”이라고 하는<br>수치를 통해 가시화되고 있습니다."""
msn_011080_002_0040#0,"""이건 각 아크스의 신체 능력이나<br>장비하고 있는 무기, 방어구 등의 능력을 측정하여 수치화한 것입니다."""
msn_011080_002_0050#0,"""거기엔 각자의 전투 중 센스 등은 반영되지 않기 때문에<br>어디까지나 기준치에 지나지 않습니다만…"""
msn_011080_002_0060#0,"""저희는 이 전투력을 기준으로 할파의 위험한 곳에<br>훈련 중인 아크스가 끼어들거나 하지 않도록 제한을 두고 있습니다."""
msn_011080_002_0070#0,"""마그너스산도 그런 곳 중 한 군데입니다."""
msn_011080_002_0080#0,"""전투력의 기준을 제시해 둘 테니<br>그 값을 참고해서 전투 준비를 진행해 주세요."""
msn_011080_002_0090#0,"""여기서 제대로 모니터링을 하고 있으니<br>힘내 주세요."""
msn_011080_002_0101#0,"""어서오세요, 센트럴 시티에.<br>만나게 되서 기쁘네요."""
msn_011080_002_0102#0,"""지금부터 오퍼레이터로써<br>확실히 서포트 해드릴게요."""
msn_011080_002_0201#0,"""오퍼레이션의 방식으로,<br>이렇게 해줬음 한다 라는<br>요망이 있으시다면 뭐든 말씀해주세요."""
msn_011080_002_0202#0,"""여러분이 활동하기 좋으시도록<br>잘 대응해 나가겠습니다."""
